                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6643,                  3.851,                 1.4489,                 1.6398,                 11.549,                 1.3931,                0.01301,                0.31667,                0.00946,                0.00373,                 1.9881,                 1286.2,                 2.3119,                 2.1043,                 27.641,                 1.8892,                0.00052,                0.00052,                0.00052
                      2,                 1.3092,                 1.3032,                 1.1277,                 1.3952,                 1.8668,                  1.117,                0.01301,                0.31667,                0.00946,                0.00373,                      0,             1.4225e+07,                      0,                      0,                  31833,                      0,              0.0010495,              0.0010495,              0.0010495
                      3,                 1.3311,                 1.2778,                 1.1669,                 1.4574,                 1.5198,                 1.1848,                  6e-05,                0.00833,                  1e-05,                  1e-05,                 4.0444,                 3801.3,                 85.516,                 4.6655,             1.1995e+05,                 105.84,              0.0015683,              0.0015683,              0.0015683
                      4,                 1.3551,                 1.1451,                 1.1529,                 1.4627,                 1.3262,                  1.172,                0.33923,                0.19167,                0.13747,                0.05012,                 2.3676,                 506.33,                 5.0431,                 2.9006,                  13.16,                 5.0027,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2722,                0.95048,                 1.1272,                 1.3962,                 1.0941,                 1.1686,                0.33923,                0.19167,                0.13747,                0.05012,                  1e-05,                  46807,                0.00058,                      0,                  337.5,                      0,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1746,                0.89552,                 1.0849,                 1.3205,                0.97617,                 1.1191,                0.75198,                    0.8,                0.82181,                0.48284,                 1.2922,                  6.453,                 1.3045,                  1.413,                 8.0715,                 1.3287,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1438,                0.77794,                 1.0827,                 1.3342,                0.84878,                 1.1434,                0.60126,                0.70833,                0.65924,                0.40157,                 1.2927,                 3.2396,                 1.3157,                 1.4385,                 2.9919,                 1.3739,               0.001901,               0.001901,               0.001901
                      8,                 1.1526,                0.78126,                 1.0474,                 1.2664,                 0.8265,                 1.0796,                0.87091,                0.73333,                0.86512,                0.60413,                 1.1318,                 1.4914,                 1.0728,                 1.0956,                 1.0677,                 1.0336,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1152,                0.74378,                 1.0408,                 1.2185,                0.73021,                 1.0678,                0.86704,                0.81517,                0.91269,                0.51122,                 1.0675,                 1.6914,                 1.0385,                 1.4309,                0.84595,                 1.2213,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0927,                 0.7201,                 1.0293,                 1.2287,                0.67901,                 1.0667,                0.85499,                0.83528,                0.93453,                0.63479,                 1.0089,                0.82411,                0.98977,                 1.0878,                0.78981,                 1.0268,              0.0018416,              0.0018416,              0.0018416
                     11,                0.99756,                0.67835,                0.98928,                 1.1783,                 0.7006,                 1.0551,                0.82299,                  0.875,                0.93048,                0.67076,                 1.0418,                0.97388,                0.98581,                 1.0533,                 1.0824,                 1.0487,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0073,                0.68131,                0.99489,                 1.1046,                0.67632,                 1.0243,                0.81574,                  0.825,                0.87815,                 0.6554,                0.86515,                 1.1304,                0.97138,                0.95985,                 1.1564,                0.97027,               0.001802,               0.001802,               0.001802
                     13,                0.97891,                0.64848,                0.99177,                 1.1153,                0.64199,                  1.036,                0.52266,                  0.225,                 0.2444,                 0.1225,                 2.3337,                 2.7058,                 2.1741,                 2.2249,                 3.4232,                 1.9945,              0.0017822,              0.0017822,              0.0017822
                     14,                0.98461,                0.66011,                0.99213,                 1.0658,                0.62253,                 1.0341,                0.67025,                   0.55,                0.60794,                0.44319,                 1.1506,                 1.4488,                 1.1279,                 1.2368,                 1.5991,                 1.1515,              0.0017624,              0.0017624,              0.0017624
                     15,                0.92295,                0.62653,                0.98216,                 1.0153,                0.57333,                 1.0251,                0.89809,                0.86667,                0.94675,                0.65221,                0.92303,                0.90416,                0.93926,                 1.0966,                0.65516,                0.97391,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94582,                0.62668,                0.98819,                 1.0449,                0.56777,                  1.018,                0.81119,                0.71608,                0.80969,                0.51693,                 1.2594,                0.79442,                 1.1702,                 1.3484,                0.87154,                 1.1973,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.9396,                0.60175,                 0.9798,                 1.0286,                0.56085,                 1.0109,                0.70865,                0.65833,                0.69566,                0.46481,                 1.2484,                   1.09,                 1.1913,                 1.3634,                  1.215,                 1.2191,               0.001703,               0.001703,               0.001703
                     18,                0.98632,                0.61864,                0.99056,                 1.0639,                0.58938,                 1.0127,                 0.8198,                0.53077,                0.58767,                0.40164,                 1.5116,                 1.2033,                 1.3852,                 1.7534,                 1.6171,                 1.5152,              0.0016832,              0.0016832,              0.0016832
                     19,                0.95583,                0.61374,                0.99665,                 1.0654,                0.53254,                 1.0206,                0.90645,                0.80745,                0.86869,                 0.6283,                0.94664,                0.76955,                0.99645,                 1.1269,                0.85141,                 1.0351,              0.0016634,              0.0016634,              0.0016634
